Sample,Treatment,Empty529,Empty650,Full529,Full650,Adj529,Adj650,AbsorbanceCorrected,Sample Weight
C1,Control,0.047,0.045,0.054,0.054,0.007,0.009,0.004948,0.09
C2,Control,0.05,0.048,0.06,0.059,0.01,0.011,0.007492,0.119
C3,Control,0.047,0.045,0.096,0.084,0.049,0.039,0.040108,0.101
C4,Control,0.046,0.043,0.078,0.075,0.032,0.032,0.024704,0.086
C5,Control,0.045,0.045,0.052,0.051,0.007,0.006,0.005632,0.12
PA1,PA,0.046,0.043,0.084,0.066,0.038,0.023,0.032756,0.127
PA2,PA,0.047,0.045,0.114,0.121,0.067,0.076,0.049672,0.057
PA3,PA,0.045,0.044,0.071,0.056,0.026,0.012,0.023264,0.067
PA4,PA,0.044,0.044,0.09,0.076,0.046,0.032,0.038704,0.053
PA5,PA,0.046,0.044,0.05,0.045,0.004,0.001,0.003772,0.073
PB1,PB,0.044,0.043,0.359,0.263,0.315,0.22,0.26484,0.136
PB2,PB,0.046,0.043,0.055,0.055,0.009,0.012,0.006264,0.121
PB3,PB,0.046,0.045,0.057,0.054,0.011,0.009,0.008948,0.132
PB4,PB,0.046,0.043,0.049,0.041,0.003,-0.002,0.003456,0.175
PB5,PB,0.047,0.045,0.088,0.058,0.041,0.013,0.038036,0.081
PC1,PC,0.047,0.045,0.0169,0.16,-0.0301,0.115,-0.05632,0.099
PC2,PC,0.046,0.045,1.165,0.894,1.119,0.849,0.925428,0.087
PC3,PC,0.048,0.046,0.081,0.067,0.033,0.021,0.028212,0.096
PC4,PC,0.047,0.045,0.064,0.092,0.017,0.047,0.006284,0.07
PC5,PC,0.046,0.044,0.052,0.064,0.006,0.02,0.00144,0.061
KA1,KA,0.046,0.045,0.061,0.077,0.015,0.032,0.007704,0.112
KA2,KA,0.047,0.045,0.066,0.076,0.019,0.031,0.011932,0.12
KA3,KA,0.047,0.045,0.056,0.069,0.009,0.024,0.003528,0.11
KA4,KA,0.047,0.044,0.06,0.08,0.013,0.036,0.004792,0.085
KA5,KA,0.051,0.049,0.061,0.059,0.01,0.01,0.00772,0.128
KB1,KB,0.046,0.044,0.055,0.057,0.009,0.013,0.006036,0.139
KB2,KB,0.05,0.047,0.05,0.047,0,0,0,0.073
KB3,KB,0.048,0.046,0.07,0.048,0.022,0.002,0.021544,0.239
KB4,KB,0.05,0.047,0.066,0.067,0.016,0.02,0.01144,0.115
KB5,KB,0.046,0.045,0.077,0.079,0.031,0.034,0.023248,0.146
KC1,KC,0.048,0.046,0.086,0.061,0.038,0.015,0.03458,0.178
KC2,KC,0.049,0.048,0.079,0.059,0.03,0.011,0.027492,0.137
KC3,KC,0.049,0.043,0.267,0.124,0.218,0.081,0.199532,0.145
KC4,KC,0.049,0.044,0.078,0.053,0.029,0.009,0.026948,0.204
KC5,KC,0.047,0.046,0.059,0.055,0.012,0.009,0.009948,0.126
